Infront-name;Yahoo finance name
247;247.ST
2CUREX;2CUREX.ST
4C;4C.ST
8TRA;8TRA.ST
AAC;AAC.ST
AAK;AAK.ST
ABAS;ABAS.ST
ABAS-TO-1;ABAS-TO-1.ST
ABB;ABB.ST
ABERA;ABERA.ST
ABI;ABI.ST
ABI-TO-1;ABI-TO-1.ST
ABI-TO-2;ABI-TO-2.ST
ABIG;ABIG.ST
ABLI;ABLI.ST
ABSL-B;ABSL-B.ST
ABSO;ABSO.ST
ACAD;ACAD.ST
ACARIX;ACARIX.ST
ACARIX-TO-2022U;ACARIX-TO-2022U.ST
ACAST;ACAST.ST
ACCON;ACCON.ST
ACE;ACE.ST
ACOS;ACOS.ST
ACOU;ACOU.ST
ACQ-SPAC;ACQ-SPAC.ST
ACRI-A;ACRI-A.ST
ACRI-B;ACRI-B.ST
ACRI-BTA-B;ACRI-BTA-B.ST
ACROUD;ACROUD.ST
ACTI;ACTI.ST
ACUC;ACUC.ST
ACUVI;ACUVI.ST
ADDERA;ADDERA.ST
ADDT-B;ADDT-B.ST
ADDV-A;ADDV-A.ST
ADDV-B;ADDV-B.ST
ADTR;ADTR.ST
ADVBOX;ADVBOX.ST
ADVE;ADVE.ST
ADVT;ADVT.ST
AEC;AEC.ST
AEGIR;AEGIR.ST
AERO;AERO.ST
AERO-TO-6;AERO-TO-6.ST
AERW-B;AERW-B.ST
AFRI;AFRI.ST
AFRY;AFRY.ST
AGES-B;AGES-B.ST
AGROUP;AGROUP.ST
AGTIRA-B;AGTIRA-B.ST
AIK-B;AIK-B.ST
AINO;AINO.ST
AJA-B;AJA-B.ST
AKEL-D;AKEL-D.ST
ALBERT;ALBERT.ST
ALCA;ALCA.ST
ALELIO;ALELIO.ST
ALFA;ALFA.ST
ALIF-B;ALIF-B.ST
ALIG;ALIG.ST
ALIV-SDB;ALIV-SDB.ST
ALLEI;ALLEI.ST
ALLIGO-B;ALLIGO-B.ST
ALLT;ALLT.ST
ALM;ALM.ST
ALM-PREF;ALM-PREF.ST
ALONNR-B;ALONNR-B.ST
ALPCOT-B;ALPCOT-B.ST
ALPH;ALPH.ST
ALTE;ALTE.ST
ALZ;ALZ.ST
ALZ-TO3;ALZ-TO3.ST
ALZCUR;ALZCUR.ST
AMBEA;AMBEA.ST
AMH2-B;AMH2-B.ST
AMIDO;AMIDO.ST
AMNI;AMNI.ST
AMNI-TO2;AMNI-TO2.ST
AMNO;AMNO.ST
ANGL;ANGL.ST
ANIMA-B;ANIMA-B.ST
ANNE-B;ANNE-B.ST
ANNX;ANNX.ST
ANOD-B;ANOD-B.ST
ANOT*;ANOT*.ST
ANTCO-B;ANTCO-B.ST
AOI;AOI.ST
APAC-SPAC-A;APAC-SPAC-A.ST
APRNDR;APRNDR.ST
APTA;APTA.ST
APTA-BTA;APTA-BTA.ST
APTA-TR;APTA-TR.ST
APTR*;APTR*.ST
AQ;AQ.ST
AQUAT;AQUAT.ST
ARBO-A;ARBO-A.ST
ARBO-B;ARBO-B.ST
ARCA;ARCA.ST
ARCANE;ARCANE.ST
ARCEDE;ARCEDE.ST
ARCOMA;ARCOMA.ST
ARCT;ARCT.ST
ARCTIC;ARCTIC.ST
ARCTIC-BTA;ARCTIC-BTA.ST
ARCTIC-TR;ARCTIC-TR.ST
ARION-SDB;ARION-SDB.ST
ARISE;ARISE.ST
ARJO-B;ARJO-B.ST
AROC;AROC.ST
AROS;AROS.ST
AROS-PREF-B;AROS-PREF-B.ST
ARP;ARP.ST
ARPL;ARPL.ST
ASAB;ASAB.ST
ASAI;ASAI.ST
ASAP;ASAP.ST
ASSA-B;ASSA-B.ST
ASTOR;ASTOR.ST
ATANA;ATANA.ST
ATCO-A;ATCO-A.ST
ATCO-B;ATCO-B.ST
ATIC;ATIC.ST
ATIN;ATIN.ST
ATORX;ATORX.ST
ATRLJ-B;ATRLJ-B.ST
ATT;ATT.ST
AUGEO;AUGEO.ST
AUGEO-TO-4;AUGEO-TO-4.ST
AUR;AUR.ST
AVEN;AVEN.ST
AVENT-B;AVENT-B.ST
AVT-B;AVT-B.ST
AWRD;AWRD.ST
AXFO;AXFO.ST
AXIC-A;AXIC-A.ST
AXIC-A-BTA;AXIC-A-BTA.ST
AXKID;AXKID.ST
AXOLOT;AXOLOT.ST
AYIMA-B;AYIMA-B.ST
AZA;AZA.ST
AZELIO;AZELIO.ST
AZN;AZN.ST
B3;B3.ST
BACKA;BACKA.ST
BACTI-B;BACTI-B.ST
BAHN-B;BAHN-B.ST
BALCO;BALCO.ST
BALD-B;BALD-B.ST
BAT;BAT.ST
BAWAT;BAWAT.ST
BAWAT-TO1;BAWAT-TO1.ST
BBROOM;BBROOM.ST
BEAMMW-B;BEAMMW-B.ST
BEAMMW-TO1-B;BEAMMW-TO1-B.ST
BEGR;BEGR.ST
BEIA-B;BEIA-B.ST
BEIJ-B;BEIJ-B.ST
BELE;BELE.ST
BELLP;BELLP.ST
BELLP-TO3;BELLP-TO3.ST
BEO-SDB;BEO-SDB.ST
BERG-B;BERG-B.ST
BESQ;BESQ.ST
BESQ-BTA;BESQ-BTA.ST
BESQ-TR;BESQ-TR.ST
BETCO;BETCO.ST
BETS-B;BETS-B.ST
BEYOND;BEYOND.ST
BFG;BFG.ST
BHG;BHG.ST
BIBB;BIBB.ST
BICO;BICO.ST
BILI-A;BILI-A.ST
BILL;BILL.ST
BIM;BIM.ST
BINERO;BINERO.ST
BINV;BINV.ST
BIOA-B;BIOA-B.ST
BIOEX;BIOEX.ST
BIOEX;BIOEX.ST
BIOEX-TO-3;BIOEX-TO-3.ST
BIOEX-TO3;BIOEX-TO3.ST
BIOF;BIOF.ST
BIOG-B;BIOG-B.ST
BIOGAS;BIOGAS.ST
BIOS;BIOS.ST
BIOS-TO-2;BIOS-TO-2.ST
BIOSGN;BIOSGN.ST
BIOSGN-TO2;BIOSGN-TO2.ST
BIOT;BIOT.ST
BIOVIC-B;BIOVIC-B.ST
BIOVIC-BTA-B;BIOVIC-BTA-B.ST
BIOVIC-TR-B;BIOVIC-TR-B.ST
BIOWKS;BIOWKS.ST
BLICK;BLICK.ST
BLICK-TO-4;BLICK-TO-4.ST
BLUE;BLUE.ST
BLUE-BTU;BLUE-BTU.ST
BMAX;BMAX.ST
BOAT;BOAT.ST
BODY;BODY.ST
BODY-BTA;BODY-BTA.ST
BODY-TR;BODY-TR.ST
BOKUS;BOKUS.ST
BOL;BOL.ST
BOMILL;BOMILL.ST
BOMILL-BTA;BOMILL-BTA.ST
BOMILL-TR;BOMILL-TR.ST
BONAS;BONAS.ST
BONAV-A;BONAV-A.ST
BONAV-B;BONAV-B.ST
BONES;BONES.ST
BONEX;BONEX.ST
BONG;BONG.ST
BONZUN;BONZUN.ST
BONZUN-TO2;BONZUN-TO2.ST
BOOZT;BOOZT.ST
BORG;BORG.ST
BOTX;BOTX.ST
BOTX-BTA;BOTX-BTA.ST
BOTX-TR;BOTX-TR.ST
BOUL;BOUL.ST
BPCINS;BPCINS.ST
BRAIN;BRAIN.ST
BRAIN;BRAIN.ST
BRAIN-BTA;BRAIN-BTA.ST
BRANDB;BRANDB.ST
BRAV;BRAV.ST
BRE2;BRE2.ST
BRG-B;BRG-B.ST
BRICK-B*;BRICK-B*.ST
BRIG;BRIG.ST
BRILL;BRILL.ST
