Infront name;Yahoo finance name;mod
8TRA;8TRA.ST;
AAK;AAK.ST;
ABB;ABB.ST;
ACAD;ACAD.ST;
ACAST;ACAST.ST;
ACCON;ACCON.ST;
ACE;ACE.ST;
ACQ-SPAC;ACQ-SPAC.ST;
ACUVI;ACUVI.ST;
ADDT-B;ADDT-B.ST;
ADDV-A;ADDV-A.ST;
ADDV-B;ADDV-B.ST;
ADVE;ADVE.ST;
ADVT;ADVT.ST;
AEGIR;AEGIR.ST;
AFRY;AFRY.ST;
AJA-B;AJA-B.ST;
ALCA;ALCA.ST;
ALFA;ALFA.ST;
ALIF-B;ALIF-B.ST;
ALIG;ALIG.ST;
ALIV-SDB;ALIV-SDB.ST;
ALLEI;ALLEI.ST;
ALLIGO-B;ALLIGO-B.ST;
ALM-PREF;ALM-PREF.ST;
ALZ;ALZ.ST;
ALZCUR;ALZCUR.ST;
AMBEA;AMBEA.ST;
ANNE-B;ANNE-B.ST;
ANOD-B;ANOD-B.ST;
AOI;AOI.ST;
APAC-SPAC-A;APAC-SPAC-A.ST;
AQ;AQ.ST;
ARBO-B;ARBO-B.ST;
ARISE;ARISE.ST;
ARJO-B;ARJO-B.ST;
ARP;ARP.ST;
ASAB;ASAB.ST;
ASSA-B;ASSA-B.ST;
ASTOR;ASTOR.ST;
ATCO-A;ATCO-A.ST;
ATCO-B;ATCO-B.ST;
ATIC;ATIC.ST;
ATRLJ-B;ATRLJ-B.ST;
ATT;ATT.ST;
AWRD;AWRD.ST;
AXFO;AXFO.ST;
AXIC-A;AXIC-A.ST;
AZA;AZA.ST;
AZN;AZN.ST;
B3;B3.ST;
BAHN-B;BAHN-B.ST;
BALCO;BALCO.ST;
BALD-B;BALD-B.ST;
BEGR;BEGR.ST;
BEIA-B;BEIA-B.ST;
BEIJ-B;BEIJ-B.ST;
BERG-B;BERG-B.ST;
BETCO;BETCO.ST;
BETS-B;BETS-B.ST;
BEYOND;BEYOND.ST;
BFG;BFG.ST;
BHG;BHG.ST;
BICO;BICO.ST;
BILI-A;BILI-A.ST;
BILL;BILL.ST;
BINV;BINV.ST;
BIOA-B;BIOA-B.ST;
BIOG-B;BIOG-B.ST;
BIOT;BIOT.ST;
BIOVIC-B;BIOVIC-B.ST;
BMAX;BMAX.ST;
BOAT;BOAT.ST;
BOL;BOL.ST;
BONAV-B;BONAV-B.ST;
BONEX;BONEX.ST;
BOOZT;BOOZT.ST;
BORG;BORG.ST;
BOTX;BOTX.ST;
BRAIN;BRAIN.ST;
BRAV;BRAV.ST;
BRE2;BRE2.ST;
BRG-B;BRG-B.ST;
BRILL;BRILL.ST;
BUFAB;BUFAB.ST;
BUILD;BUILD.ST;
BULTEN;BULTEN.ST;
BURE;BURE.ST;
BYGGP;BYGGP.ST;
CAG;CAG.ST;
CALTX;CALTX.ST;
CAMX;CAMX.ST;
CANDLE-B;CANDLE-B.ST;
CANTA;CANTA.ST;
CAST;CAST.ST;
CAT-A;CAT-A.ST;
CAT-B;CAT-B.ST;
CATE;CATE.ST;
CDON;CDON.ST;
CEVI;CEVI.ST;
CFISH;CFISH.ST;
CI;CI.ST;
CIBUS;CIBUS.ST;
CINT;CINT.ST;
CLA-B;CLA-B.ST;
CLAS-B;CLAS-B.ST;
CLEM;CLEM.ST;
COIC;COIC.ST;
COLL;COLL.ST;
COMBI;COMBI.ST;
COOR;COOR.ST;
COPP-B;COPP-B.ST;
CORE-B;CORE-B.ST;
CORE-D;CORE-D.ST;
CORE-PREF;CORE-PREF.ST;
CPAC-SPAC;CPAC-SPAC.ST;
CRAD-B;CRAD-B.ST;
CRED-A;CRED-A.ST;
CTEK;CTEK.ST;
CTM;CTM.ST;
CTT;CTT.ST;
DEAR;DEAR.ST;
DEDI;DEDI.ST;
DIOS;DIOS.ST;
DMYD-B;DMYD-B.ST;
DOM;DOM.ST;
DORO;DORO.ST;
DOXA;DOXA.ST;
DUNI;DUNI.ST;
DUST;DUST.ST;
EG7;EG7.ST;
EGTX;EGTX.ST;
EKTA-B;EKTA-B.ST;
ELAN-B;ELAN-B.ST;
ELTEL;ELTEL.ST;
ELUX-B;ELUX-B.ST;
EMBRAC-B;EMBRAC-B.ST;
ENEA;ENEA.ST;
ENGCON-B;ENGCON-B.ST;
ENQ;ENQ.ST;
EOLU-B;EOLU-B.ST;
EPI-A;EPI-A.ST;
EPI-B;EPI-B.ST;
EPIS-B;EPIS-B.ST;
EPRO-B;EPRO-B.ST;
EQT;EQT.ST;
ERIC-A;ERIC-A.ST;
ERIC-B;ERIC-B.ST;
ESGR-B;ESGR-B.ST;
ESSITY-A;ESSITY-A.ST;
ESSITY-B;ESSITY-B.ST;
EVO;EVO.ST;
EWRK;EWRK.ST;
EXPRS2;EXPRS2.ST;
FABG;FABG.ST;
FAG;FAG.ST;
FERRO;FERRO.ST;
FG;FG.ST;
FIL;FIL.ST;
FING-B;FING-B.ST;
FIRE;FIRE.ST;
FIRST-B;FIRST-B.ST;
FLAT-B;FLAT-B.ST;
FLEXM;FLEXM.ST;
FLUO;FLUO.ST;
FNM;FNM.ST;
FNOX;FNOX.ST;
FPAR-A;FPAR-A.ST;
FPIP;FPIP.ST;
FRACTL;FRACTL.ST;
FREJA;FREJA.ST;
G5EN;G5EN.ST;
GAPW-B;GAPW-B.ST;
GARO;GARO.ST;
GENO;GENO.ST;
GETI-B;GETI-B.ST;
GIGSEK;GIGSEK.ST;
GOMX;GOMX.ST;
GRANGX;GRANGX.ST;
GREEN;GREEN.ST;
GRNG;GRNG.ST;
HANZA;HANZA.ST;
HAYPP;HAYPP.ST;
HEBA-B;HEBA-B.ST;
HEIM-PREF;HEIM-PREF.ST;
HEM;HEM.ST;
HEXA-B;HEXA-B.ST;
HM-B;HM-B.ST;
HMS;HMS.ST;
HNSA;HNSA.ST;
HOFI;HOFI.ST;
HOLM-A;HOLM-A.ST;
HOLM-B;HOLM-B.ST;
HPOL-B;HPOL-B.ST;
HTRO;HTRO.ST;
HUFV-A;HUFV-A.ST;
HUM;HUM.ST;
HUMBLE;HUMBLE.ST;
HUSQ-A;HUSQ-A.ST;
HUSQ-B;HUSQ-B.ST;
IAR-B;IAR-B.ST;
IMMNOV;IMMNOV.ST;
IMP-A-SDB;IMP-A-SDB.ST;
INDT;INDT.ST;
INDU-A;INDU-A.ST;
INDU-C;INDU-C.ST;
INISS-B;INISS-B.ST;
INSTAL;INSTAL.ST;
INT;INT.ST;
INTEG-B;INTEG-B.ST;
INTRUM;INTRUM.ST;
INVE-A;INVE-A.ST;
INVE-B;INVE-B.ST;
INWI;INWI.ST;
IPCO;IPCO.ST;
IVACC;IVACC.ST;
IVSO;IVSO.ST;
JM;JM.ST;
KABE-B;KABE-B.ST;
KAMBI;KAMBI.ST;
KAPIAB;KAPIAB.ST;
KDEV;KDEV.ST;
KEBNI-B;KEBNI-B.ST;
KFAST-B;KFAST-B.ST;
KIND-SDB;KIND-SDB.ST;
KINV-A;KINV-A.ST;
KINV-B;KINV-B.ST;
KJELL;KJELL.ST;
KNOW;KNOW.ST;
KOBR-B;KOBR-B.ST;
LAGR-B;LAGR-B.ST;
LATO-B;LATO-B.ST;
LIAB;LIAB.ST;
LIFCO-B;LIFCO-B.ST;
LIME;LIME.ST;
LINC;LINC.ST;
LIPI;LIPI.ST;
LMKG;LMKG.ST;
LOGIST;LOGIST.ST;
LOOMIS;LOOMIS.ST;
LUC;LUC.ST;
LUG;LUG.ST;
LUMEN;LUMEN.ST;
LUMI;LUMI.ST;
LUMITO;LUMITO.ST;
LUND-B;LUND-B.ST;
LYKO-A;LYKO-A.ST;
M8G;M8G.ST;
MAGI;MAGI.ST;
MAHA-A;MAHA-A.ST;
MAVEN;MAVEN.ST;
MCAP;MCAP.ST;
MCOV-B;MCOV-B.ST;
MEKO;MEKO.ST;
MESTRO;MESTRO.ST;
META;META.ST;
MIDS;MIDS.ST;
MILDEF;MILDEF.ST;
MINEST;MINEST.ST;
MIPS;MIPS.ST;
MMGR-B;MMGR-B.ST;
MNDRK;MNDRK.ST;
MSON-B;MSON-B.ST;
MTG-B;MTG-B.ST;
MTRS;MTRS.ST;
MYCR;MYCR.ST;
NCAB;NCAB.ST;
NCC-A;NCC-A.ST;
NCC-B;NCC-B.ST;
NDA-SE;NDA-SE.ST;
NELLY;NELLY.ST;
NEOBO;NEOBO.ST;
NEPA;NEPA.ST;
NETEL;NETEL.ST;
NETI-B;NETI-B.ST;
NEWA-B;NEWA-B.ST;
NEXAM;NEXAM.ST;
NIBE-B;NIBE-B.ST;
NIL-B;NIL-B.ST;
NITRO;NITRO.ST;
NMAN;NMAN.ST;
NOBI;NOBI.ST;
NOKIA-SEK;NOKIA-SEK.ST;
NOLA-B;NOLA-B.ST;
NORB-B;NORB-B.ST;
NOTE;NOTE.ST;
NP3;NP3.ST;
NPAPER;NPAPER.ST;
NTEK-B;NTEK-B.ST;
NWG;NWG.ST;
NYF;NYF.ST;
NYTTO;NYTTO.ST;
OEM-B;OEM-B.ST;
OGUN-B;OGUN-B.ST;
ONCO;ONCO.ST;
ORES;ORES.ST;
ORRON;ORRON.ST;
ORTI-B;ORTI-B.ST;
ORX;ORX.ST;
OX2;OX2.ST;
PACT;PACT.ST;
PCELL;PCELL.ST;
PDX;PDX.ST;
PEAB-B;PEAB-B.ST;
PHI;PHI.ST;
PION-B;PION-B.ST;
PLAZ-B;PLAZ-B.ST;
PLEJD;PLEJD.ST;
