Infront name;mod;mod;Yahoo finance name
4C;4C;4C.ST;4C.ST
8TRA;8TRA;8TRA.ST;8TRA.ST
AAK;AAK;AAK.ST;AAK.ST
ABB;ABB;ABB.ST;ABB.ST
ABSO;ABSO;ABSO.ST;ABSO.ST
ACAD;ACAD;ACAD.ST;ACAD.ST
ACAST;ACAST;ACAST.ST;ACAST.ST
ACQ SPAC;ACQ-SPAC;ACQ-SPAC.ST;ACQ-SPAC.ST
ADDT B;ADDT-B;ADDT-B.ST;ADDT-B.ST
ADDV B;ADDV-B;ADDV-B.ST;ADDV-B.ST
AEC;AEC;AEC.ST;AEC.ST
AFRY;AFRY;AFRY.ST;AFRY.ST
AGROUP;AGROUP;AGROUP.ST;AGROUP.ST
AJA B;AJA-B;AJA-B.ST;AJA-B.ST
ALFA;ALFA;ALFA.ST;ALFA.ST
ALIF B;ALIF-B;ALIF-B.ST;ALIF-B.ST
ALIG;ALIG;ALIG.ST;ALIG.ST
ALIV SDB;ALIV-SDB;ALIV-SDB.ST;ALIV-SDB.ST
ALLEI;ALLEI;ALLEI.ST;ALLEI.ST
ALLIGO B;ALLIGO-B;ALLIGO-B.ST;ALLIGO-B.ST
ALM;ALM;ALM.ST;ALM.ST
ALM PREF;ALM-PREF;ALM-PREF.ST;ALM-PREF.ST
AMBEA;AMBEA;AMBEA.ST;AMBEA.ST
ANOD B;ANOD-B;ANOD-B.ST;ANOD-B.ST
AOI;AOI;AOI.ST;AOI.ST
AQ;AQ;AQ.ST;AQ.ST
ARISE;ARISE;ARISE.ST;ARISE.ST
ARJO B;ARJO-B;ARJO-B.ST;ARJO-B.ST
AROS;AROS;AROS.ST;AROS.ST
ARP;ARP;ARP.ST;ARP.ST
ASSA B;ASSA-B;ASSA-B.ST;ASSA-B.ST
ATCO A;ATCO-A;ATCO-A.ST;ATCO-A.ST
ATCO B;ATCO-B;ATCO-B.ST;ATCO-B.ST
ATRLJ B;ATRLJ-B;ATRLJ-B.ST;ATRLJ-B.ST
ATT;ATT;ATT.ST;ATT.ST
AWRD;AWRD;AWRD.ST;AWRD.ST
AXFO;AXFO;AXFO.ST;AXFO.ST
AZA;AZA;AZA.ST;AZA.ST
AZN;AZN;AZN.ST;AZN.ST
B3;B3;B3.ST;B3.ST
BACTI B;BACTI-B;BACTI-B.ST;BACTI-B.ST
BAHN B;BAHN-B;BAHN-B.ST;BAHN-B.ST
BALCO;BALCO;BALCO.ST;BALCO.ST
BALD B;BALD-B;BALD-B.ST;BALD-B.ST
BEGR;BEGR;BEGR.ST;BEGR.ST
BEIA B;BEIA-B;BEIA-B.ST;BEIA-B.ST
BEIJ B;BEIJ-B;BEIJ-B.ST;BEIJ-B.ST
BERG B;BERG-B;BERG-B.ST;BERG-B.ST
BESQ;BESQ;BESQ.ST;BESQ.ST
BETCO;BETCO;BETCO.ST;BETCO.ST
BETS B;BETS-B;BETS-B.ST;BETS-B.ST
BFG;BFG;BFG.ST;BFG.ST
BHG;BHG;BHG.ST;BHG.ST
BICO;BICO;BICO.ST;BICO.ST
BILI A;BILI-A;BILI-A.ST;BILI-A.ST
BILL;BILL;BILL.ST;BILL.ST
BINV;BINV;BINV.ST;BINV.ST
BIOA B;BIOA-B;BIOA-B.ST;BIOA-B.ST
